task-clock	context-switches	cpu-migrations	page-faults	cycles	instructions	branches	branch-misses	label
19.57	56.0	2.0	4.0	41825626.0	66060168.0	11775390.0	11129.0	1
16.07	51.0	2.0	3.0	33936219.0	53058139.0	9047878.0	42168.0	1
14.94	61.0	2.0	0.0	32209092.0	46620153.0	8708625.0	29258.0	1
15.47	27.0	0.0	2.0	32984750.0	52183267.0	6952922.0	170640.0	1
19.37	52.0	3.0	1.0	41075124.0	65660673.0	11108686.0	54145.0	1
9.79	18.0	2.0	0.0	20837131.0	32105581.0	6201362.0	1370.0	1
3.63	45.0	1.0	2.0	7368222.0	11496653.0	2095088.0	7118.0	1
16.38	26.0	1.0	0.0	34202253.0	54294398.0	10023396.0	6548.0	1
3.33	48.0	3.0	3.0	6734796.0	10005628.0	1784429.0	5615.0	1
17.87	23.0	1.0	0.0	38435072.0	61406092.0	10929470.0	16389.0	1
22.35	27.0	1.0	0.0	47027992.0	73227635.0	13204321.0	23347.0	1
18.11	45.0	2.0	2.0	38287157.0	61701438.0	10768837.0	20177.0	1
0.19	17.0	0.0	0.0	326504.0	142723.0	29835.0	1091.0	1
24.13	54.0	3.0	1.0	51135022.0	79637747.0	14252265.0	35366.0	1
8.75	18.0	1.0	0.0	18749090.0	28647190.0	5177684.0	14326.0	1
20.18	59.0	2.0	6.0	42777986.0	66095467.0	11837638.0	16430.0	1
6.43	13.0	3.0	3.0	10924288.0	19792766.0	3727815.0	7771.0	1
22.55	63.0	2.0	1.0	46580525.0	73765530.0	12886774.0	38690.0	1
11.52	19.0	1.0	18.0	24837723.0	37112526.0	7034971.0	13306.0	1
0.4	24.0	0.0	9.0	756487.0	313308.0	64932.0	2768.0	1
26.47	51.0	1.0	3.0	56258081.0	89745836.0	15449864.0	23574.0	1
0.24	24.0	0.0	0.0	407958.0	193420.0	40424.0	1267.0	1
14.37	30.0	4.0	26.0	30286528.0	46939093.0	8630796.0	14994.0	1
19.26	48.0	1.0	1.0	40061980.0	62111376.0	10931829.0	15493.0	1
15.42	30.0	1.0	0.0	32830675.0	49478619.0	9513893.0	5416.0	1
10.3	59.0	5.0	1.0	19428964.0	32671541.0	6079638.0	5307.0	1
19.67	21.0	0.0	1.0	41661536.0	66411460.0	11429372.0	15299.0	1
21.08	46.0	3.0	7.0	44148434.0	67920618.0	12045628.0	18100.0	1
7.3	17.0	2.0	25.0	15052002.0	15912909.0	4228889.0	4717.0	1
21.12	44.0	0.0	16.0	43909281.0	70945408.0	12216584.0	18085.0	1
8.41	29.0	2.0	1.0	17248417.0	27518537.0	5094363.0	14163.0	1
5.43	16.0	2.0	28.0	8757068.0	17794966.0	3388585.0	4993.0	1
22.49	57.0	3.0	0.0	47707864.0	75141620.0	13212872.0	77292.0	1
0.25	22.0	1.0	0.0	465183.0	201100.0	41539.0	1500.0	1
7.56	30.0	1.0	0.0	14638799.0	25546325.0	4269779.0	6835.0	1
20.26	29.0	4.0	2.0	43015550.0	68416175.0	12174718.0	14243.0	1
21.25	47.0	1.0	3.0	43616918.0	68690418.0	12275151.0	27511.0	1
19.99	66.0	1.0	0.0	41344509.0	64782776.0	11785121.0	17895.0	1
0.29	28.0	0.0	0.0	571435.0	242392.0	49695.0	1852.0	1
17.63	34.0	1.0	2.0	36302175.0	58062239.0	10305950.0	15554.0	1
16.88	40.0	1.0	0.0	35010208.0	54528052.0	10109684.0	11898.0	1
16.87	60.0	0.0	0.0	34193410.0	53477817.0	9518945.0	22499.0	1
7.33	31.0	0.0	2.0	15429360.0	22416358.0	4200591.0	10265.0	1
24.82	64.0	0.0	1.0	51044903.0	80585145.0	14077208.0	28691.0	1
4.2	29.0	0.0	0.0	9024452.0	14103623.0	2565837.0	6814.0	1
27.72	67.0	1.0	1.0	57172392.0	91102359.0	16149367.0	26985.0	1
9.92	39.0	3.0	0.0	21157602.0	33812472.0	5818135.0	13342.0	1
